Country Name,ISO,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,26609.3840748633,27358.0217070709,27662.2034052006,27798.3553265013,28563.2336087935,28479.6452657341,27701.0504117279,28526.0975674511,28387.1299566371,28351.3719022982,30199.6612772816,31169.7969138989,30662.3217145204,30651.9457560917,32192.7919471291,31249.2780373413,31038.8898666583,31759.8232024833,32097.0402243555,28157.1489891095,27324.5554259804,28037.8697927378,27341.2274279996,28668.7204196265,27914.8433440348,27458.2253310273,27719.5007310796,29671.13582858,30334.1162224308,29576.8097145074,21947.9953301189,27469.0056215511,29917.1280287045,31178.473678762,
,AFE,1281.50250276261,1245.54251372724,1184.33827550477,1145.08271181594,1136.57544469867,1154.87494174794,1186.07296437005,1200.46842325995,1190.26744135748,1190.1711033462,1196.92976594366,1207.22915865621,1221.24592539704,1224.80628548513,1259.13592068834,1301.66161668619,1350.73057684768,1402.25924781269,1424.16219679945,1398.07772680316,1431.21195789305,1449.85349970149,1436.27450997855,1457.67290748026,1475.73903934085,1479.61525980543,1472.69922995631,1472.97115180926,1471.43831747146,1463.43789056716,1383.72411941014,1409.04069884703,1421.79716897878,1412.62538438423,1416.25036869408
Afghanistan,AFG,,,,,,,,,,,308.318269746638,277.118051443941,338.139973643387,346.071627096223,338.637273888197,363.640141436773,367.75831169358,410.757728879097,417.647282647498,488.830652491949,542.871030476037,525.42698276582,568.929021458341,580.603833333096,575.146245808546,565.569730408751,563.872336723147,562.769574140988,553.125151688293,557.861533207459,527.834554499306,408.625855217403,377.665627080705,378.06630312259,
,AFW,1256.45954971624,1236.74588673855,1231.40344613907,1182.25793325506,1148.02596393345,1137.96412338866,1158.68614732857,1177.25439688196,1186.6821217341,1172.35079961023,1184.3601376623,1211.60657416161,1295.46024656435,1330.01534966024,1397.57989325249,1438.7657371855,1473.575756798,1511.39802807784,1561.49690310715,1611.51321017603,1677.42793720229,1711.40576272057,1750.0258910552,1805.52643337702,1857.25875463317,1860.72769393488,1815.16869287797,1808.71649348956,1814.688734184,1829.07062009788,1768.31356500952,1796.60208538449,1824.95329630102,1841.75834617104,1873.20072424561
Angola,AGO,2380.17624300565,2324.36937619854,2118.16654532324,1559.517151584,1529.994431256,1701.69727652709,1867.93503101029,1936.91619338589,1961.03722525713,1938.86184025918,1932.98847886814,1947.85672988915,2139.87259662901,2128.19579323903,2277.86696532928,2526.41057941008,2716.25302638209,2983.0418728513,3193.28772270836,3100.60927365473,3114.69608592822,3099.9422899117,3236.57494513146,3268.63890723473,3300.73510980871,3213.90261080059,3020.98332805417,2911.60084214038,2775.74642272991,2664.43850995544,2433.37637275564,2385.44881834294,2382.02263952585,2334.66104267184,2364.84659101208
Albanie,ALB,1682.8810874018,1218.96427317362,1138.23773998809,1254.67888414888,1367.22058963712,1558.96638565461,1683.76965547424,1495.90035328523,1630.43874131845,1841.80762760566,1991.91435867116,2188.91854451375,2297.10853513924,2428.68934653563,2567.29763687121,2712.86983830331,2894.36032580174,3105.8796756386,3345.98161761476,3459.24695646692,3579.82413181046,3677.89457937717,3720.22876474985,3790.68016321899,3883.63262828191,3981.72662261867,4143.98988316994,4283.98262744437,4452.23714652476,4563.4673625169,4437.65346927974,4880.72346162808,5178.88431481499,5444.93000074979,5726.02570530968
Andorre,AND,31143.1468745802,29642.305980666,28161.9424927346,26518.2336327363,26587.1383037195,27619.5060608184,28871.2160741757,31140.6896808445,31800.3640667052,32938.6437399807,34113.8173771495,36790.1037072591,38084.4843094685,39620.3201590697,40054.3211516798,40528.1748609004,41322.0529198761,40789.1589682857,37775.1261390552,35604.3840085198,36277.2644412087,37637.4868329126,36206.9784343227,35684.169433471,37300.6244183478,38654.9347203095,40085.0205971586,39361.0622634329,39242.1448960772,39346.2750344286,34536.6499209948,36929.0191515162,39780.3966116268,40227.2335282714,41034.5073956102
Le monde arabe,ARB,4294.62754043205,4167.43155950837,4328.63746365102,4347.09525319009,4371.53190492102,4381.98527912021,4482.41718381566,4614.32613100497,4718.46856157782,4734.74738020828,4915.07098418265,4897.85868212299,4840.41100234932,4931.73909920056,5255.59538824308,5418.23751648854,5621.03289229308,5733.49995086153,5900.67914827487,5793.59521671987,5953.89088311612,6038.37051066657,6196.73883024471,6200.05917460349,6213.19485330044,6262.04168490023,6335.74627340697,6309.55882237984,6362.19976190562,6351.40326996305,5923.37350684471,6091.32544269033,6369.41320452418,6321.01759091735,6282.43802445082
Émirats arabes unis,ARE,66979.1559151909,63905.6264701838,62667.1354478131,60391.4655841103,61614.3415911829,62860.2773251553,62334.4066586859,62177.4283818597,57785.0311409726,55354.9439610152,57365.3983287418,54574.8141677002,52607.6615102605,54020.4735669296,56027.6100386222,55777.9018314127,57053.7895596677,52428.0680690009,48281.347795881,42991.5535152856,42645.6359587867,43800.1593000919,42868.0975048418,43269.8404678577,43023.1904189899,43534.9972694631,43745.2881695314,42690.2147810875,42679.75191193,42700.1297938135,40776.6308713329,41778.5838767025,42687.7207209003,42507.7873410123,42512.1971726477
Argentine,ARG,8115.09386370753,8729.82318518892,9293.18692251748,9920.67358582437,10359.8927204871,9934.10776139515,10352.1400002191,11056.6881331002,11348.2022124673,10838.3199346387,10631.6503639029,10051.9448463043,8861.56199282278,9545.53194119994,10302.4465316428,11099.7509190602,11870.2791559298,12811.9021206578,13197.3570267029,12285.3784651865,13387.1553748458,14040.6189124444,13754.4254235596,13946.0950832252,13456.1319159151,13679.6264980954,13265.8860639123,13520.1129846159,13058.3285449954,12706.3978108968,11393.0505957877,12549.2811699342,13182.7933950725,12933.2497342121,12667.0313654373
